iter	Passed	Remaining
706	73077	30285
707	73264	30216
708	73341	30101
709	73524	30030
710	73715	29962
711	73898	29891
712	74092	29824
713	74278	29753
714	74469	29683
715	74663	29615
716	74850	29543
717	74893	29414
718	75099	29350
719	75251	29264
720	75457	29199
721	75671	29136
722	75738	29017
723	75937	28948
724	76136	28879
725	76185	28753
726	76265	28639
727	76460	28567
728	76508	28441
729	76547	28312
730	76744	28240
731	76778	28110
732	76978	28039
733	77179	27969
734	77367	27894
735	77555	27818
736	77741	27742
737	77814	27625
738	77858	27497
739	77885	27365
740	78078	27290
741	78107	27158
742	78136	27027
743	78314	26947
744	78352	26818
745	78387	26689
746	78418	26559
747	78606	26482
748	78789	26403
749	78905	26301
750	79100	26226
751	79141	26099
752	79323	26019
753	79512	25941
754	79636	25842
755	79664	25711
756	79714	25588
757	79745	25459
758	79776	25330
759	79801	25200
760	79988	25121
761	80179	25043
762	80254	24928
763	80439	24847
764	80622	24766
765	80803	24684
766	80989	24602
767	81176	24521
768	81214	24395
769	81405	24315
770	81588	24233
771	81662	24118
772	81704	23993
773	81735	23865
774	81930	23786
775	81962	23659
776	82155	23578
777	82350	23498
778	82529	23413
779	82719	23331
780	82755	23205
781	82801	23082
782	83003	23003
783	83059	22883
784	83259	22803
785	83302	22680
786	83505	22600
787	83703	22519
788	83741	22394
789	83942	22313
790	83986	22191
791	84189	22110
792	84241	21989
793	84438	21907
794	84637	21824
795	84772	21725
796	84962	21640
797	85164	21557
798	85349	21471
799	85532	21383
800	85725	21297
801	85802	21183
802	85991	21096
803	86177	21008
804	86371	20922
805	86569	20836
806	86773	20752
807	86977	20667
808	87016	20543
809	87212	20457
810	87273	20338
811	87312	20215
812	87357	20093
813	87443	19980
814	87473	19856
815	87664	19767
816	87701	19644
817	87896	19556
818	88091	19468
819	88175	19355
820	88260	19243
821	88449	19153
822	88492	19031
823	88530	18909
824	88721	18819
825	88913	18729
826	89101	18639
827	89297	18549
828	89329	18426
829	89368	18304
830	89559	18213
831	89596	18091
832	89628	17968
833	89820	17878
834	90015	17787
835	90201	17695
836	90407	17606
837	90445	17484
838	90492	17364
839	90532	17244
840	90726	17152
841	90922	17061
842	90951	16938
843	91139	16845
844	91328	16752
845	91546	16664
846	91758	16575
847	91964	16484
848	92160	16391
849	92206	16271
850	92407	16179
851	92609	16087
852	92816	15995
853	93013	15901
854	93211	15807
855	93275	15691
856	93311	15570
857	93514	15476
858	93553	15356
859	93760	15263
860	93801	15143
861	93843	15023
862	94046	14929
863	94248	14835
864	94295	14716
865	94330	14596
866	94365	14475
867	94562	14380
868	94756	14284
869	94953	14188
870	95148	14092
871	95348	13996
872	95478	13889
873	95676	13793
874	95878	13696
875	96082	13600
876	96281	13503
877	96480	13406
878	96683	13309
879	96733	13190
880	96781	13072
881	96983	12975
882	97194	12878
883	97234	12759
884	97433	12660
885	97472	12541
886	97681	12444
887	97717	12324
888	97761	12206
889	97796	12087
890	97990	11987
891	98184	11887
892	98224	11769
893	98262	11650
894	98460	11551
895	98498	11432
896	98707	11334
897	98838	11226
898	98872	11108
899	98911	10990
900	99114	10890
901	99168	10774
902	99223	10658
903	99262	10541
904	99401	10434
905	99445	10317
906	99640	10216
907	99839	10115
908	100043	10015
909	100252	9915
910	100450	9813
911	100485	9695
912	100520	9578
913	100557	9461
914	100599	9345
915	100801	9243
916	100998	9141
917	101208	9040
918	101407	8937
919	101609	8835
920	101646	8718
921	101846	8616
922	101909	8501
923	101949	8385
924	102163	8283
925	102205	8167
926	102412	8064
927	102478	7950
928	102535	7836
929	102632	7725
930	102843	7622
931	102881	7506
932	102923	7391
933	103128	7287
934	103174	7172
935	103209	7057
936	103264	6943
937	103461	6838
938	103662	6734
939	103867	6629
940	104067	6524
941	104273	6420
942	104477	6315
943	104526	6200
944	104565	6085
945	104759	5979
946	104964	5874
947	105167	5768
948	105217	5654
949	105280	5541
950	105314	5426
951	105353	5311
952	105400	5198
953	105439	5084
954	105483	4970
955	105614	4860
956	105660	4747
957	105861	4641
958	106064	4534
959	106105	4421
960	106140	4307
961	106174	4193
962	106223	4081
963	106261	3968
964	106297	3855
965	106356	3743
966	106549	3636
967	106752	3528
968	106958	3421
969	107006	3309
970	107209	3201
971	107260	3089
972	107323	2978
973	107529	2870
974	107581	2758
975	107778	2650
976	107818	2538
977	108027	2430
978	108065	2318
979	108121	2206
980	108317	2097
981	108360	1986
982	108560	1877
983	108599	1765
984	108640	1654
985	108845	1545
986	108884	1434
987	108952	1323
988	109156	1214
989	109207	1103
990	109255	992
991	109298	881
992	109340	770
993	109542	661
994	109744	551
995	109786	440
996	109985	330
997	110050	220
998	110091	110
999	110298	0
